timestamp,machine_id,operator_id,task_id,engine_hours,fuel_used_l,load_cycles,avg_cycle_time_s,cycle_time_std,idling_time_min,idle_reason,seatbelt_status,machine_moving,harsh_events,lat,lon,safety_alert
2026-06-01 07:00:00.000000,EXC001,OP1001,T001,1375.93,2.92,12,24.3,1.28,0,,buckled,True,0,40.000014,-104.999983,False
2026-06-01 07:05:00.000000,EXC001,OP1001,T001,1376.01,3.13,12,26.6,1.28,0,,buckled,True,0,40.000008,-105.000008,False
2026-06-01 07:10:00.000000,EXC001,OP1001,T001,1376.1,3.07,12,26.0,1.28,0,,buckled,True,0,39.99996,-104.999996,False
2026-06-01 07:15:00.000000,EXC001,OP1001,T001,1376.18,2.97,12,23.2,1.28,0,,buckled,True,0,40.000029,-104.999924,False
2026-06-01 07:20:00.000000,EXC001,OP1001,T001,1376.26,0.73,0,0.0,1.28,5,unnecessary,buckled,False,0,39.999967,-104.999994,False
2026-06-01 07:25:00.000000,EXC001,OP1001,T001,1376.35,3.03,12,24.5,1.28,0,,buckled,True,0,39.999941,-104.999972,False
2026-06-01 07:37:48.613316,EXC001,OP1014,T002,1376.43,3.22,11,27.7,1.34,0,,buckled,True,0,40.000043,-104.999983,False
2026-06-01 07:42:48.613316,EXC001,OP1014,T002,1376.51,2.99,11,28.1,1.34,0,,buckled,True,0,40.000019,-105.000044,False
2026-06-01 07:47:48.613316,EXC001,OP1014,T002,1376.6,2.87,11,26.3,1.34,0,,buckled,True,0,39.999999,-104.999966,False
2026-06-01 07:52:48.613316,EXC001,OP1014,T002,1376.68,0.79,0,0.0,1.34,5,unnecessary,buckled,False,0,40.000036,-105.000031,False
2026-06-01 07:57:48.613316,EXC001,OP1014,T002,1376.76,3.07,11,25.9,1.34,0,,buckled,True,0,39.999991,-104.99996,False
2026-06-01 08:02:48.613316,EXC001,OP1014,T002,1376.85,3.07,11,29.4,1.34,0,,buckled,True,0,40.000073,-104.999995,False
2026-06-01 08:18:28.274703,EXC001,OP1011,T003,1376.93,3.17,12,24.8,1.26,0,,buckled,True,0,39.999998,-104.999977,False
2026-06-01 08:23:28.274703,EXC001,OP1011,T003,1377.01,3.23,12,25.7,1.26,0,,buckled,True,0,40.000027,-105.000007,False
2026-06-01 08:28:28.274703,EXC001,OP1011,T003,1377.1,3.12,12,27.4,1.26,0,,buckled,True,0,39.999992,-104.999964,False
2026-06-01 08:33:28.274703,EXC001,OP1011,T003,1377.18,3.0,12,25.0,1.26,0,,buckled,True,0,40.00005,-104.999987,False
2026-06-01 08:38:28.274703,EXC001,OP1011,T003,1377.26,0.75,0,0.0,1.26,5,unnecessary,buckled,False,0,39.99999,-105.000005,False
2026-06-01 08:43:28.274703,EXC001,OP1011,T003,1377.35,0.81,0,0.0,1.26,5,unnecessary,buckled,False,0,39.999993,-104.999998,False
2026-06-01 08:48:28.274703,EXC001,OP1011,T003,1377.43,2.87,12,26.1,1.26,0,,buckled,True,0,40.000049,-104.999994,False
2026-06-01 08:58:57.209970,EXC001,OP1019,T004,1377.51,2.96,11,27.1,1.37,0,,buckled,True,0,40.000081,-105.000036,False
2026-06-01 09:03:57.209970,EXC001,OP1019,T004,1377.6,2.81,11,26.2,1.37,0,,buckled,True,0,40.000027,-104.999982,False
2026-06-01 09:08:57.209970,EXC001,OP1019,T004,1377.68,3.03,11,28.2,1.37,0,,buckled,True,0,39.999993,-105.000001,False
2026-06-01 09:13:57.209970,EXC001,OP1019,T004,1377.76,2.76,11,25.9,1.37,0,,buckled,True,0,40.000023,-104.999993,False
2026-06-01 09:18:57.209970,EXC001,OP1019,T004,1377.85,3.09,11,24.9,1.37,0,,buckled,True,0,40.00002,-105.000083,False
2026-06-01 09:23:57.209970,EXC001,OP1019,T004,1377.93,3.18,11,25.0,1.37,0,,buckled,True,0,39.999973,-104.999969,False
2026-06-01 09:28:57.209970,EXC001,OP1019,T004,1378.01,3.48,11,24.4,1.37,0,,buckled,True,1,39.999982,-104.999987,False
2026-06-01 09:33:57.209970,EXC001,OP1019,T004,1378.1,2.97,11,27.7,1.37,0,,buckled,True,0,40.000023,-105.000043,False
2026-06-01 09:38:57.209970,EXC001,OP1019,T004,1378.18,3.19,11,26.9,1.37,0,,buckled,True,1,39.999998,-104.999943,False
2026-06-01 09:43:57.209970,EXC001,OP1019,T004,1378.26,0.72,0,0.0,1.37,5,unnecessary,buckled,False,0,39.999997,-104.999996,False
2026-06-01 09:48:57.209970,EXC001,OP1019,T004,1378.35,3.23,11,28.1,1.37,0,,buckled,True,0,39.999994,-105.000002,False
2026-06-01 10:08:05.100888,EXC001,OP1010,T005,1378.43,4.35,9,33.3,1.68,0,,buckled,True,0,39.999926,-104.999983,False
2026-06-01 10:13:05.100888,EXC001,OP1010,T005,1378.51,4.02,9,32.8,1.68,0,,buckled,True,0,39.999985,-105.000064,False
2026-06-01 10:18:05.100888,EXC001,OP1010,T005,1378.6,4.24,9,34.1,1.68,0,,buckled,True,0,39.999971,-105.000044,False
2026-06-01 10:23:05.100888,EXC001,OP1010,T005,1378.68,4.1,9,36.4,1.68,0,,buckled,True,0,39.999959,-104.999993,False
2026-06-01 10:28:05.100888,EXC001,OP1010,T005,1378.76,1.06,0,0.0,1.68,5,unnecessary,buckled,False,0,40.000018,-105.00009,False
2026-06-01 10:33:05.100888,EXC001,OP1010,T005,1378.85,4.16,9,32.0,1.68,0,,buckled,True,0,39.999994,-104.999988,False
2026-06-01 10:38:05.100888,EXC001,OP1010,T005,1378.93,3.72,9,34.8,1.68,0,,buckled,True,0,40.000001,-105.000026,False
2026-06-01 07:00:00.000000,EXC002,OP1012,T006,1147.56,2.8,11,27.0,1.31,0,,buckled,True,1,40.001003,-104.999519,False
2026-06-01 07:05:00.000000,EXC002,OP1012,T006,1147.64,3.13,11,23.3,1.31,0,,buckled,True,0,40.001049,-104.999457,False
