timestamp,worker_id,lat,lon
2026-06-01 07:00:00.000000,W001,39.999715,-105.000789
2026-06-01 07:10:00.000000,W002,39.999493,-105.000441
2026-06-01 07:20:00.000000,W003,39.99982,-105.000471
2026-06-01 07:37:48.613316,W002,40.00069,-104.999829
2026-06-01 07:47:48.613316,W003,40.00038,-104.999864
2026-06-01 08:18:28.274703,W003,40.000198,-104.999934
2026-06-01 08:28:28.274703,W004,40.000363,-105.000655
2026-06-01 08:38:28.274703,W005,40.000441,-105.000667
2026-06-01 08:58:57.209970,W004,39.999542,-104.999736
2026-06-01 09:08:57.209970,W005,39.999436,-105.00069
2026-06-01 09:18:57.209970,W006,39.99985,-105.000215
2026-06-01 09:28:57.209970,W001,39.999476,-104.99956
2026-06-01 09:38:57.209970,W002,39.999809,-105.000138
2026-06-01 10:08:05.100888,W005,40.000169,-105.000149
2026-06-01 10:18:05.100888,W006,39.999788,-104.999828
2026-06-01 10:28:05.100888,W001,39.999857,-104.99983
2026-06-01 07:00:00.000000,W006,40.001103,-104.999522
2026-06-01 07:10:00.000000,W001,40.000922,-104.999248
2026-06-01 07:20:00.000000,W002,40.000644,-104.999761
2026-06-01 07:30:00.000000,W003,40.000775,-104.999594
2026-06-01 07:40:00.000000,W004,40.000838,-104.999304
2026-06-01 08:05:57.029668,W001,40.000907,-104.999504
2026-06-01 08:15:57.029668,W002,40.00063,-104.999847
2026-06-01 08:25:57.029668,W003,39.999029,-104.999848
2026-06-01 08:35:57.029668,W004,40.000417,-104.999528
2026-06-01 08:45:57.029668,W005,40.000865,-104.999943
2026-06-01 09:08:44.982965,W002,40.000434,-104.998512
2026-06-01 09:18:44.982965,W003,40.000937,-104.999712
2026-06-01 09:28:44.982965,W004,40.00121,-104.999519
2026-06-01 09:38:44.982965,W005,40.000471,-104.999382
2026-06-01 10:02:43.151604,W003,40.000956,-104.999548
2026-06-01 10:12:43.151604,W004,40.000564,-105.000374
2026-06-01 10:22:43.151604,W005,40.000868,-104.999401
2026-06-01 10:32:43.151604,W006,40.001519,-104.999519
2026-06-01 10:42:43.151604,W001,40.000603,-104.999006
2026-06-01 07:00:00.000000,W004,39.998986,-104.998963
2026-06-01 07:10:00.000000,W005,39.998911,-104.998463
2026-06-01 07:20:00.000000,W006,39.999299,-104.998962
2026-06-01 07:41:49.873867,W005,39.99941,-104.998533
2026-06-01 07:51:49.873867,W006,39.999529,-104.998184
2026-06-01 08:01:49.873867,W001,39.998533,-104.997789
2026-06-01 08:11:49.873867,W002,39.998882,-104.998663
2026-06-01 08:21:49.873867,W003,39.998703,-104.998564
2026-06-01 08:47:47.708005,W006,39.998956,-104.998462
2026-06-01 08:57:47.708005,W001,39.998716,-104.998173
2026-06-01 09:07:47.708005,W002,39.999137,-104.999124
2026-06-01 09:39:14.141313,W001,39.999462,-104.998908
2026-06-01 09:49:14.141313,W002,39.999277,-104.999095
2026-06-01 09:59:14.141313,W003,39.99923,-104.998943
2026-06-01 10:09:14.141313,W004,39.998825,-104.998386
2026-06-01 10:19:14.141313,W005,39.998995,-104.998999
2026-06-01 10:29:14.141313,W006,39.998852,-104.998443
2026-06-01 11:00:57.621442,W002,39.999661,-104.999112
2026-06-01 11:10:57.621442,W003,39.999292,-104.998829
2026-06-01 11:20:57.621442,W004,39.999099,-104.999
2026-06-01 11:30:57.621442,W005,39.998826,-104.998468
2026-06-01 11:58:08.248094,W003,39.999055,-104.998405
2026-06-01 12:08:08.248094,W004,39.999101,-104.998654
2026-06-01 12:18:08.248094,W005,39.999401,-104.998486
2026-06-01 12:28:08.248094,W006,39.999612,-104.999098
2026-06-01 12:38:08.248094,W001,39.998829,-104.999012
2026-06-01 07:00:00.000000,W004,40.000636,-105.000904
2026-06-01 07:10:00.000000,W005,40.000842,-105.000867
2026-06-01 07:35:56.811851,W005,40.000569,-105.001127
2026-06-01 07:45:56.811851,W006,40.000863,-105.001442
2026-06-01 07:55:56.811851,W001,40.000785,-105.000814
2026-06-01 08:05:56.811851,W002,40.000245,-104.999868
2026-06-01 08:36:29.434553,W006,40.000534,-105.001108
2026-06-01 08:46:29.434553,W001,40.000394,-105.001716
2026-06-01 08:56:29.434553,W002,40.000941,-105.001001
2026-06-01 09:06:29.434553,W003,40.000804,-105.00118
2026-06-01 09:30:15.066024,W001,40.000426,-105.001172
2026-06-01 09:40:15.066024,W002,40.000699,-105.001457
2026-06-01 09:50:15.066024,W003,40.000183,-105.000951
2026-06-01 10:00:15.066024,W004,40.00024,-105.0005
2026-06-01 10:27:34.348227,W002,39.999923,-105.000661
2026-06-01 10:37:34.348227,W003,40.000054,-105.000758
2026-06-01 10:47:34.348227,W004,40.000984,-105.001095
2026-06-01 10:57:34.348227,W005,40.000495,-105.001139
2026-06-01 11:07:34.348227,W006,40.000026,-105.001747
2026-06-01 11:17:34.348227,W001,39.999944,-105.001401
2026-06-01 11:27:34.348227,W002,40.000272,-105.001012
2026-06-01 11:37:34.348227,W003,40.00047,-105.001082
2026-06-01 07:00:00.000000,W003,39.999914,-104.999141
2026-06-01 07:10:00.000000,W004,40.000144,-104.999281
2026-06-01 07:20:00.000000,W005,39.999955,-104.999716
2026-06-01 07:30:00.000000,W006,40.000166,-104.999964
2026-06-01 07:40:00.000000,W001,39.998915,-105.000614
2026-06-01 07:50:00.000000,W002,40.000018,-104.999979
2026-06-01 08:13:15.994391,W004,40.000453,-104.999267
2026-06-01 08:23:15.994391,W005,39.999994,-104.999695
2026-06-01 08:33:15.994391,W006,40.000102,-104.99955
2026-06-01 08:51:50.395151,W005,39.999593,-104.999822
2026-06-01 09:01:50.395151,W006,39.999924,-105.000388
2026-06-01 09:11:50.395151,W001,40.000468,-105.000117
2026-06-01 09:21:50.395151,W002,39.999919,-105.000559
2026-06-01 09:31:50.395151,W003,40.000401,-104.999528
2026-06-01 09:41:50.395151,W004,39.999451,-104.999193
2026-06-01 10:00:24.474664,W006,40.000197,-105.000185
2026-06-01 10:10:24.474664,W001,40.000193,-104.999556
2026-06-01 10:20:24.474664,W002,40.000222,-104.99968
2026-06-01 10:47:37.797589,W001,40.000332,-105.000001
2026-06-01 10:57:37.797589,W002,40.00008,-104.999267
2026-06-01 11:07:37.797589,W003,39.999995,-105.000007
2026-06-01 11:17:37.797589,W004,39.999874,-105.000498
2026-06-01 11:42:18.421180,W002,39.99992,-105.00005
2026-06-01 11:52:18.421180,W003,39.999434,-105.000326
2026-06-01 12:02:18.421180,W004,39.999639,-104.999799
2026-06-01 12:12:18.421180,W005,40.000394,-104.999972
2026-06-01 12:22:18.421180,W006,39.999944,-104.999576
2026-06-01 12:45:10.532104,W003,40.000271,-105.000009
2026-06-01 12:55:10.532104,W004,39.999878,-104.999955
2026-06-01 13:05:10.532104,W005,39.999705,-104.999931
2026-06-01 13:15:10.532104,W006,40.000181,-105.000321
2026-06-01 13:25:10.532104,W001,40.000004,-105.000124
2026-06-01 13:35:10.532104,W002,40.00026,-104.999455
2026-06-01 13:45:10.532104,W003,40.000261,-104.999938
2026-06-01 13:55:10.532104,W004,39.999792,-104.999384
2026-06-01 07:00:00.000000,W004,40.000504,-104.999803
2026-06-01 07:10:00.000000,W005,40.001149,-104.999046
2026-06-01 07:20:00.000000,W006,40.001006,-105.000061
2026-06-01 07:30:00.000000,W001,40.000114,-104.999357
2026-06-01 07:40:00.000000,W002,40.001347,-104.999641
2026-06-01 07:59:55.266432,W005,40.000855,-104.999567
2026-06-01 08:09:55.266432,W006,40.001201,-105.000183
2026-06-01 08:19:55.266432,W001,40.000221,-105.000051
2026-06-01 08:42:20.633179,W006,40.00117,-105.000061
2026-06-01 08:52:20.633179,W001,40.002136,-104.999873
2026-06-01 09:02:20.633179,W002,40.001517,-104.999464
2026-06-01 09:12:20.633179,W003,40.00072,-104.999481
2026-06-01 09:39:15.802253,W001,39.999936,-105.000085
2026-06-01 09:49:15.802253,W002,40.000394,-104.999405
2026-06-01 09:59:15.802253,W003,40.001109,-104.999781
2026-06-01 10:09:15.802253,W004,40.001572,-104.999428
